"rcp";"gcm";"rcm";"year";"month";"temp";"prec"
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1954;6;15,7746727095445;39,4602772649447
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1954;7;19,0093704832648;14,6838345154943
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1954;8;19,8385057680954;24,7990462490106
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1954;9;15,6568025103678;41,6118911426176
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1954;10;7,84937367530797;182,527531382891
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1954;11;1,91846775470538;49,3127303418868
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1954;12;1,90483681972198;60,7722774230517
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;1;-2,48989503008564;65,0601693185346
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;2;-3,00265534347319;57,1795073347846
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;3;2,28528915562984;114,505782680165
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;4;6,17150068963845;26,5675450877418
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;5;11,9959689794257;30,5697921176081
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;6;13,6180584985752;54,699516265886
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;7;18,2133316752369;103,62314569863
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;8;16,8148007137363;64,4942381110511
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;9;15,1225719229243;47,8330468836627
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;10;9,11541982100369;71,1493675577953
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;11;2,85320363503586;153,207369771264
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1955;12;7,88041965664052;81,8190393340712
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;1;2,36657065495152;40,4315374180394
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;2;2,30879342607037;44,2372212942207
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;3;1,30913644913341;64,517725919592
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;4;6,6849594604642;44,6090626967345
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;5;11,3131687058788;51,5678040742502
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;6;12,1331864868153;92,0482613073713
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;7;17,9739367754025;64,1338875082846
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;8;16,1052435279385;40,156796565001
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;9;14,4855337442411;19,5324053895525
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;10;7,63673658980568;46,2843368604943
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;11;-0,758561270289566;11,5477239896549
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1956;12;-0,167039457029764;45,9744422807028
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;1;-8,11595017357838;23,7004807843616
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;2;1,19244377305674;39,3022357235013
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;3;2,8689593215196;103,267667895297
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;4;6,2682101481849;50,6055158752071
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;5;12,9155785640465;41,1100621931113
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;6;13,403878923441;30,806092016249
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;7;16,3250762739684;79,6032369872546
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;8;15,2367296261145;68,762787172906
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;9;13,800375668947;18,9235363414839
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;10;7,47131294064071;86,2713242465295
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;11;2,58760886020027;129,328588298588
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1957;12;-0,0142612153365385;45,809861775531
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;1;-3,61645003527296;13,715259345976
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;2;-1,10633786714306;55,6624911888733
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;3;2,4885852872469;8,24184406399595
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;4;8,35649300561983;22,8233976209472
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;5;12,1947787319087;69,3861611393469
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;6;16,5858022484199;90,6978154808857
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;7;18,1147864099327;58,2601710578071
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;8;19,6973334904938;42,9851620699567
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;9;14,436708619444;64,687730665482
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;10;10,0019619905402;89,1619824899206
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;11;0,796806971105791;31,1890059148725
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1958;12;-1,06382170944953;1,89024278045345
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;1;-3,17495722746537;12,9380414243913
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;2;0,75615577055479;13,893788004534
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;3;2,92635606715777;8,03066754877516
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;4;6,34118545838078;47,0173885180105
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;5;9,45187951924716;47,6730911436853
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;6;14,3986050212028;136,792269282161
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;7;16,3252302506522;97,7175299869436
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;8;14,6893717391299;72,1198394391243
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;9;13,1285990135763;39,2047002302294
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;10;8,06397848702299;38,5949566770572
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;11;0,533647135237633;20,8608111538059
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1959;12;0,206949212279758;67,9611094693743
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;1;-0,57736383928654;92,5774627884974
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;2;2,92265245931293;78,8522665092353
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;3;4,56052622755251;16,9905914940675
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;4;6,42162256847812;49,7951600922056
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;5;12,1491327948284;55,5450419062516
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;6;15,5240719824849;69,6741471442658
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;7;16,4296029604041;143,938794810043
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;8;18,7311513503969;18,3781167264346
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;9;14,5020217315249;115,124802722717
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;10;8,09260514809152;77,4821470007163
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;11;1,49438969355301;72,0214960409646
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1960;12;-0,57758298619356;24,6027225294325
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1961;1;-1,29190953019434;45,3264878622051
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1961;2;1,65322404422488;15,8671142497184
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1961;3;3,871694021736;24,2379811600753
