"site";"lat";"lon";"year";"month";"tmean";"prec"
"b1";"50,07";"10,44";"2009";"9";"14,8";"55"
"b1";"50,07";"10,44";"2009";"10";"7,9";"58"
"b1";"50,07";"10,44";"2009";"11";"6,8";"94"
"b1";"50,07";"10,44";"2009";"12";"0,1";"113"
"b1";"50,07";"10,44";"2010";"1";"-3,7";"41"
"b1";"50,07";"10,44";"2010";"2";"-0,6";"42"
"b1";"50,07";"10,44";"2010";"3";"4,0";"39"
"b1";"50,07";"10,44";"2010";"4";"8,8";"19"
"b1";"50,07";"10,44";"2010";"5";"10,7";"98"
"b1";"50,07";"10,44";"2010";"6";"17,0";"29"
"b1";"50,07";"10,44";"2010";"7";"20,0";"86"
"b1";"50,07";"10,44";"2010";"8";"16,0";"170"
"b1";"50,07";"10,44";"2010";"9";"11,8";"54"
"b1";"50,07";"10,44";"2010";"10";"7,7";"30"
"b1";"50,07";"10,44";"2010";"11";"4,9";"104"
"b1";"50,07";"10,44";"2010";"12";"-4,0";"104"
"b1";"50,07";"10,44";"2011";"1";"0,4";"62"
"b1";"50,07";"10,44";"2011";"2";"0,5";"32"
"b1";"50,07";"10,44";"2011";"3";"5,6";"12"
"b1";"50,07";"10,44";"2011";"4";"11,9";"23"
"b1";"50,07";"10,44";"2011";"5";"14,0";"30"
"b1";"50,07";"10,44";"2011";"6";"16,5";"71"
"b1";"50,07";"10,44";"2011";"7";"15,8";"96"
"b1";"50,07";"10,44";"2011";"8";"18,0";"61"
"b1";"50,07";"10,44";"2011";"9";"15,4";"48"
"b1";"50,07";"10,44";"2011";"10";"9,0";"58"
"b1";"50,07";"10,44";"2011";"11";"3,8";"1"
"b1";"50,07";"10,44";"2011";"12";"3,3";"141"
"b1";"50,07";"10,44";"2012";"1";"1,5";"90"
"b1";"50,07";"10,44";"2012";"2";"-3,3";"16"
"b1";"50,07";"10,44";"2012";"3";"7,1";"8"
"b1";"50,07";"10,44";"2012";"4";"8,3";"26"
"b1";"50,07";"10,44";"2012";"5";"14,9";"43"
"b1";"50,07";"10,44";"2012";"6";"15,9";"109"
"b1";"50,07";"10,44";"2012";"7";"17,4";"83"
"b1";"50,07";"10,44";"2012";"8";"19,0";"50"
"b1";"50,07";"10,44";"2012";"9";"13,5";"56"
"b1";"50,07";"10,44";"2012";"10";"7,9";"45"
"b1";"50,07";"10,44";"2012";"11";"4,6";"94"
"b1";"50,07";"10,44";"2012";"12";"1,4";"125"
"b1";"50,07";"10,44";"2013";"1";"0,1";"48"
"b1";"50,07";"10,44";"2013";"2";"-1,1";"38"
"b1";"50,07";"10,44";"2013";"3";"0,5";"28"
"b1";"50,07";"10,44";"2013";"4";"8,3";"58"
"b1";"50,07";"10,44";"2013";"5";"11,4";"171"
"b1";"50,07";"10,44";"2013";"6";"15,8";"63"
"b1";"50,07";"10,44";"2013";"7";"19,8";"39"
"b1";"50,07";"10,44";"2013";"8";"17,9";"51"
"b1";"50,07";"10,44";"2013";"9";"13,2";"87"
"b1";"50,07";"10,44";"2013";"10";"9,9";"65"
"b1";"50,07";"10,44";"2013";"11";"4,1";"75"
"b1";"50,07";"10,44";"2013";"12";"2,8";"40"
"b1";"50,07";"10,44";"2014";"1";"2,4";"48"
"b1";"50,07";"10,44";"2014";"2";"3,8";"42"
"b1";"50,07";"10,44";"2014";"3";"7,1";"10"
"b1";"50,07";"10,44";"2014";"4";"11,1";"45"
"b1";"50,07";"10,44";"2014";"5";"12,3";"76"
"b1";"50,07";"10,44";"2014";"6";"16,5";"17"
"b1";"50,07";"10,44";"2014";"7";"19,1";"124"
"b1";"50,07";"10,44";"2014";"8";"15,6";"114"
"b1";"50,07";"10,44";"2014";"9";"14,5";"54"
"b1";"50,07";"10,44";"2014";"10";"11,3";"63"
"b1";"50,07";"10,44";"2014";"11";"5,7";"33"
"b1";"50,07";"10,44";"2014";"12";"2,4";"67"
"b1";"50,07";"10,44";"2015";"1";"1,7";"76"
"b1";"50,07";"10,44";"2015";"2";"0,0";"10"
"b1";"50,07";"10,44";"2015";"3";"5,0";"39"
"b1";"50,07";"10,44";"2015";"4";"8,5";"19"
"b1";"50,07";"10,44";"2015";"5";"12,9";"26"
"b1";"50,07";"10,44";"2015";"6";"16,4";"45"
"b1";"50,07";"10,44";"2015";"7";"20,2";"71"
"b1";"50,07";"10,44";"2015";"8";"20,7";"45"
"b1";"50,07";"10,44";"2015";"9";"12,6";"40"
